Caitlin,fdsa,,
Rick,rick@havlak.com,6046122525,home
Cngjkla,cnmill,7788465733, mobile
Caitlin,avjlnvklaev,"[""123456""]","[""home""]"
Caitlin,gjkalbnkjrlnb,[],[]
Caitlin,dnsjoavnejkl,,[]
Caitlin,niboranvje,,[]
Jessica,jess@gmail.com,"[""543583209"", ""545820475820""]","[""mobile"", ""home""]"
Caitlin,fdsajkonl,"[""57489548205""]","[""578439578349""]"
Caitlin,cnmi@gmail.com,"[""23424234""]","[""home""]"
Caitlin,fdjskalf,12345,mobile
Caitlin,fdjskalf,412412,fdsa
Caitlin,dsjakfldsa,12345,mobile
Caitlin,fdsajklfdsa,mobile: 1234523
Caitlin,fdsajklfdsa,home: 1232343456
